mcp_servername,language,integration_type,star_count,violated_rule,violated_rule_name,issue_type,issue_severity,component,fix_guideline,issue_tags,quality_impact
Azure-Samples/AI-Gateway,Jupyter Notebook,mined,427,azureresourcemanager:S4423,Weak SSL/TLS protocols should not be used,VULNERABILITY,CRITICAL,Azure-Samples.AI-Gateway:labs/ai-agent-service/main.bicep,"Set ""minimumTlsVersion""/""minimalTlsVersion"" to disable support of older TLS versions.","cwe, privacy, azure",SECURITY
Azure-Samples/AI-Gateway,Jupyter Notebook,mined,427,azureresourcemanager:S4423,Weak SSL/TLS protocols should not be used,VULNERABILITY,CRITICAL,Azure-Samples.AI-Gateway:labs/ai-foundry-deepseek/main.bicep,"Set ""minimumTlsVersion""/""minimalTlsVersion"" to disable support of older TLS versions.","cwe, privacy, azure",SECURITY
Azure-Samples/AI-Gateway,Jupyter Notebook,mined,427,azureresourcemanager:S4423,Weak SSL/TLS protocols should not be used,VULNERABILITY,CRITICAL,Azure-Samples.AI-Gateway:labs/function-calling/main.bicep,"Set ""minimumTlsVersion""/""minimalTlsVersion"" to disable support of older TLS versions.","cwe, privacy, azure",SECURITY
yamadashy/repomix,TypeScript,mined,13474,secrets:S6689,GitHub tokens should not be disclosed,VULNERABILITY,BLOCKER,yamadashy.repomix:tests/core/security/workers/securityCheckWorker.test.ts,"Make sure this Github token gets revoked, changed, and removed from the code.",cwe,SECURITY
panaversity/learn-agentic-ai,Jupyter Notebook,mined,940,secrets:S6334,Google API keys should not be disclosed,VULNERABILITY,BLOCKER,panaversity.learn-agentic-ai:07b_crew_ai/08_training/Training_Crew.ipynb,"Make sure this Google API Key is either secured or revoked, changed, and removed from the code.",cwe,SECURITY
panaversity/learn-agentic-ai,Jupyter Notebook,mined,940,secrets:S6334,Google API keys should not be disclosed,VULNERABILITY,BLOCKER,panaversity.learn-agentic-ai:07b_crew_ai/09_planning/Planning_Crew.ipynb,"Make sure this Google API Key is either secured or revoked, changed, and removed from the code.",cwe,SECURITY
panaversity/learn-agentic-ai,Jupyter Notebook,mined,940,secrets:S6334,Google API keys should not be disclosed,VULNERABILITY,BLOCKER,panaversity.learn-agentic-ai:07b_crew_ai/11_testing/Testing_Crew.ipynb,"Make sure this Google API Key is either secured or revoked, changed, and removed from the code.",cwe,SECURITY
panaversity/learn-agentic-ai,Jupyter Notebook,mined,940,secrets:S6698,PostgreSQL database passwords should not be disclosed,VULNERABILITY,BLOCKER,panaversity.learn-agentic-ai:AGENT_PROTOTYPES/appointment-agent/compose.yaml,Make sure this PostgreSQL database password gets changed and removed from the code.,cwe,SECURITY
panaversity/learn-agentic-ai,Jupyter Notebook,mined,940,secrets:S6698,PostgreSQL database passwords should not be disclosed,VULNERABILITY,BLOCKER,panaversity.learn-agentic-ai:07c_langgraph_functional_api/18_langchain_ecosystem/langgraph/course-notebooks/module-6/deployment/docker-compose-example.yml,Make sure this PostgreSQL database password gets changed and removed from the code.,cwe,SECURITY
panaversity/learn-agentic-ai,Jupyter Notebook,mined,940,secrets:S6334,Google API keys should not be disclosed,VULNERABILITY,BLOCKER,panaversity.learn-agentic-ai:07c_langgraph_functional_api/18_langchain_ecosystem/langgraph/course-notebooks/module-1/00_edges_nodes_graph.ipynb,"Make sure this Google API Key is either secured or revoked, changed, and removed from the code.",cwe,SECURITY
panaversity/learn-agentic-ai,Jupyter Notebook,mined,940,secrets:S6334,Google API keys should not be disclosed,VULNERABILITY,BLOCKER,panaversity.learn-agentic-ai:07c_langgraph_functional_api/18_langchain_ecosystem/langgraph/course-notebooks/module-3/1_streaming_interruption.ipynb,"Make sure this Google API Key is either secured or revoked, changed, and removed from the code.",cwe,SECURITY
panaversity/learn-agentic-ai,Jupyter Notebook,mined,940,secrets:S6334,Google API keys should not be disclosed,VULNERABILITY,BLOCKER,panaversity.learn-agentic-ai:07c_langgraph_functional_api/18_langchain_ecosystem/langgraph/course-notebooks/module-3/1_streaming_interruption.ipynb,"Make sure this Google API Key is either secured or revoked, changed, and removed from the code.",cwe,SECURITY
panaversity/learn-agentic-ai,Jupyter Notebook,mined,940,secrets:S6334,Google API keys should not be disclosed,VULNERABILITY,BLOCKER,panaversity.learn-agentic-ai:07c_langgraph_functional_api/18_langchain_ecosystem/langgraph/course-notebooks/module-3/2_breakpoints.ipynb,"Make sure this Google API Key is either secured or revoked, changed, and removed from the code.",cwe,SECURITY
panaversity/learn-agentic-ai,Jupyter Notebook,mined,940,secrets:S6334,Google API keys should not be disclosed,VULNERABILITY,BLOCKER,panaversity.learn-agentic-ai:07c_langgraph_functional_api/18_langchain_ecosystem/langgraph/course-notebooks/module-3/2_breakpoints.ipynb,"Make sure this Google API Key is either secured or revoked, changed, and removed from the code.",cwe,SECURITY
panaversity/learn-agentic-ai,Jupyter Notebook,mined,940,secrets:S6334,Google API keys should not be disclosed,VULNERABILITY,BLOCKER,panaversity.learn-agentic-ai:07c_langgraph_functional_api/18_langchain_ecosystem/langgraph/course-notebooks/module-3/3_edit_state_human_feedback.ipynb,"Make sure this Google API Key is either secured or revoked, changed, and removed from the code.",cwe,SECURITY
panaversity/learn-agentic-ai,Jupyter Notebook,mined,940,secrets:S6334,Google API keys should not be disclosed,VULNERABILITY,BLOCKER,panaversity.learn-agentic-ai:07c_langgraph_functional_api/18_langchain_ecosystem/langgraph/course-notebooks/module-3/5_time_travel.ipynb,"Make sure this Google API Key is either secured or revoked, changed, and removed from the code.",cwe,SECURITY
panaversity/learn-agentic-ai,Jupyter Notebook,mined,940,secrets:S6334,Google API keys should not be disclosed,VULNERABILITY,BLOCKER,panaversity.learn-agentic-ai:07c_langgraph_functional_api/18_langchain_ecosystem/langgraph/course-notebooks/module-4/1_parallelization.ipynb,"Make sure this Google API Key is either secured or revoked, changed, and removed from the code.",cwe,SECURITY
panaversity/learn-agentic-ai,Jupyter Notebook,mined,940,secrets:S6334,Google API keys should not be disclosed,VULNERABILITY,BLOCKER,panaversity.learn-agentic-ai:07c_langgraph_functional_api/18_langchain_ecosystem/langgraph/course-notebooks/module-4/3_map_reduce.ipynb,"Make sure this Google API Key is either secured or revoked, changed, and removed from the code.",cwe,SECURITY
panaversity/learn-agentic-ai,Jupyter Notebook,mined,940,secrets:S6334,Google API keys should not be disclosed,VULNERABILITY,BLOCKER,panaversity.learn-agentic-ai:07c_langgraph_functional_api/18_langchain_ecosystem/langgraph/course-notebooks/module-2/1_state_schema.ipynb,"Make sure this Google API Key is either secured or revoked, changed, and removed from the code.",cwe,SECURITY
panaversity/learn-agentic-ai,Jupyter Notebook,mined,940,secrets:S6334,Google API keys should not be disclosed,VULNERABILITY,BLOCKER,panaversity.learn-agentic-ai:07c_langgraph_functional_api/18_langchain_ecosystem/langgraph/course-notebooks/module-2/1_state_schema.ipynb,"Make sure this Google API Key is either secured or revoked, changed, and removed from the code.",cwe,SECURITY
panaversity/learn-agentic-ai,Jupyter Notebook,mined,940,secrets:S6334,Google API keys should not be disclosed,VULNERABILITY,BLOCKER,panaversity.learn-agentic-ai:07c_langgraph_functional_api/18_langchain_ecosystem/langgraph/course-notebooks/module-2/2_state_reducers.ipynb,"Make sure this Google API Key is either secured or revoked, changed, and removed from the code.",cwe,SECURITY
panaversity/learn-agentic-ai,Jupyter Notebook,mined,940,secrets:S6334,Google API keys should not be disclosed,VULNERABILITY,BLOCKER,panaversity.learn-agentic-ai:07c_langgraph_functional_api/18_langchain_ecosystem/langgraph/course-notebooks/module-2/2_state_reducers.ipynb,"Make sure this Google API Key is either secured or revoked, changed, and removed from the code.",cwe,SECURITY
panaversity/learn-agentic-ai,Jupyter Notebook,mined,940,secrets:S6334,Google API keys should not be disclosed,VULNERABILITY,BLOCKER,panaversity.learn-agentic-ai:07c_langgraph_functional_api/18_langchain_ecosystem/langgraph/course-notebooks/module-2/4_trim_filter_messages.ipynb,"Make sure this Google API Key is either secured or revoked, changed, and removed from the code.",cwe,SECURITY
panaversity/learn-agentic-ai,Jupyter Notebook,mined,940,secrets:S6334,Google API keys should not be disclosed,VULNERABILITY,BLOCKER,panaversity.learn-agentic-ai:07c_langgraph_functional_api/18_langchain_ecosystem/langgraph/course-notebooks/module-2/4_trim_filter_messages.ipynb,"Make sure this Google API Key is either secured or revoked, changed, and removed from the code.",cwe,SECURITY
panaversity/learn-agentic-ai,Jupyter Notebook,mined,940,secrets:S6334,Google API keys should not be disclosed,VULNERABILITY,BLOCKER,panaversity.learn-agentic-ai:07c_langgraph_functional_api/18_langchain_ecosystem/langgraph/course-notebooks/module-2/5_chatbot_summarization.ipynb,"Make sure this Google API Key is either secured or revoked, changed, and removed from the code.",cwe,SECURITY
panaversity/learn-agentic-ai,Jupyter Notebook,mined,940,secrets:S6334,Google API keys should not be disclosed,VULNERABILITY,BLOCKER,panaversity.learn-agentic-ai:07c_langgraph_functional_api/18_langchain_ecosystem/langgraph/course-notebooks/module-2/5_chatbot_summarization.ipynb,"Make sure this Google API Key is either secured or revoked, changed, and removed from the code.",cwe,SECURITY
panaversity/learn-agentic-ai,Jupyter Notebook,mined,940,secrets:S6334,Google API keys should not be disclosed,VULNERABILITY,BLOCKER,panaversity.learn-agentic-ai:07c_langgraph_functional_api/18_langchain_ecosystem/langgraph/course-notebooks/module-2/6.0_chatbot_external_memory_with_sqlite.ipynb,"Make sure this Google API Key is either secured or revoked, changed, and removed from the code.",cwe,SECURITY
panaversity/learn-agentic-ai,Jupyter Notebook,mined,940,secrets:S6334,Google API keys should not be disclosed,VULNERABILITY,BLOCKER,panaversity.learn-agentic-ai:07c_langgraph_functional_api/18_langchain_ecosystem/langgraph/course-notebooks/module-2/6.0_chatbot_external_memory_with_sqlite.ipynb,"Make sure this Google API Key is either secured or revoked, changed, and removed from the code.",cwe,SECURITY
hashintel/hash,TypeScript,mined,1151,terraform:S4423,Weak SSL/TLS protocols should not be used,VULNERABILITY,CRITICAL,hashintel.hash:infra/terraform/modules/opensearch/opensearch.tf,"Set ""domain_endpoint_options.tls_security_policy"" to disable support of older TLS versions.","cwe, gcp, privacy, aws, azure",SECURITY
hashintel/hash,TypeScript,mined,1151,typescript:S2819,Origins should be verified during cross-origin communications,VULNERABILITY,CRITICAL,hashintel.hash:apps/hash-frontend/src/components/sandbox/block-framer/block-framer.tsx,Specify a target origin for this message.,"cwe, html5, type-dependent",SECURITY
hashintel/hash,TypeScript,mined,1151,typescript:S2819,Origins should be verified during cross-origin communications,VULNERABILITY,CRITICAL,hashintel.hash:apps/hash-frontend/src/components/sandbox/framed-block/util.ts,Specify a target origin for this message.,"cwe, html5, type-dependent",SECURITY
get-convex/convex-backend,Rust,mined,3399,secrets:S6706,Cryptographic private keys should not be disclosed,VULNERABILITY,BLOCKER,get-convex.convex-backend:npm-packages/udf-tests/convex/js_builtins/crypto.ts,"Make sure this private key gets revoked, changed, and removed from the code.",cwe,SECURITY
get-convex/convex-backend,Rust,mined,3399,secrets:S6706,Cryptographic private keys should not be disclosed,VULNERABILITY,BLOCKER,get-convex.convex-backend:npm-packages/udf-tests/convex/js_builtins/crypto.ts,"Make sure this private key gets revoked, changed, and removed from the code.",cwe,SECURITY
get-convex/convex-backend,Rust,mined,3399,secrets:S6706,Cryptographic private keys should not be disclosed,VULNERABILITY,BLOCKER,get-convex.convex-backend:npm-packages/udf-tests/convex/js_builtins/crypto.ts,"Make sure this private key gets revoked, changed, and removed from the code.",cwe,SECURITY
get-convex/convex-backend,Rust,mined,3399,secrets:S6706,Cryptographic private keys should not be disclosed,VULNERABILITY,BLOCKER,get-convex.convex-backend:npm-packages/udf-tests/convex/js_builtins/crypto.ts,"Make sure this private key gets revoked, changed, and removed from the code.",cwe,SECURITY
get-convex/convex-backend,Rust,mined,3399,secrets:S6706,Cryptographic private keys should not be disclosed,VULNERABILITY,BLOCKER,get-convex.convex-backend:npm-packages/udf-tests/convex/js_builtins/crypto.ts,"Make sure this private key gets revoked, changed, and removed from the code.",cwe,SECURITY
get-convex/convex-backend,Rust,mined,3399,secrets:S6706,Cryptographic private keys should not be disclosed,VULNERABILITY,BLOCKER,get-convex.convex-backend:npm-packages/udf-tests/convex/js_builtins/crypto.ts,"Make sure this private key gets revoked, changed, and removed from the code.",cwe,SECURITY
flatironinstitute/neurosift,TypeScript,mined,53,typescript:S2819,Origins should be verified during cross-origin communications,VULNERABILITY,CRITICAL,flatironinstitute.neurosift:src/pages/NwbPage/MainTab.tsx,Specify a target origin for this message.,"cwe, html5, type-dependent",SECURITY
flatironinstitute/neurosift,TypeScript,mined,53,typescript:S2819,Origins should be verified during cross-origin communications,VULNERABILITY,CRITICAL,flatironinstitute.neurosift:src/ai-integration/messaging/windowMessaging.ts,Specify a target origin for this message.,"cwe, html5, type-dependent",SECURITY
flatironinstitute/neurosift,TypeScript,mined,53,typescript:S2819,Origins should be verified during cross-origin communications,VULNERABILITY,CRITICAL,flatironinstitute.neurosift:src/ai-integration/messaging/windowMessaging.ts,Specify a target origin for this message.,"cwe, html5, type-dependent",SECURITY
flatironinstitute/neurosift,TypeScript,mined,53,typescript:S2819,Origins should be verified during cross-origin communications,VULNERABILITY,CRITICAL,flatironinstitute.neurosift:src/ai-integration/messaging/windowMessaging.ts,Specify a target origin for this message.,"cwe, html5, type-dependent",SECURITY
flatironinstitute/neurosift,TypeScript,mined,53,typescript:S2819,Origins should be verified during cross-origin communications,VULNERABILITY,CRITICAL,flatironinstitute.neurosift:src/ai-integration/messaging/windowMessaging.ts,Specify a target origin for this message.,"cwe, html5, type-dependent",SECURITY
latitude-dev/latitude-llm,TypeScript,mined,1796,typescript:S5542,Encryption algorithms should be used with secure mode and padding scheme,VULNERABILITY,CRITICAL,latitude-dev.latitude-llm:packages/core/src/lib/encryption.ts,Use a secure mode and padding scheme.,"cwe, privacy",SECURITY
latitude-dev/latitude-llm,TypeScript,mined,1796,secrets:S6698,PostgreSQL database passwords should not be disclosed,VULNERABILITY,BLOCKER,latitude-dev.latitude-llm:packages/env/src/index.ts,Make sure this PostgreSQL database password gets changed and removed from the code.,cwe,SECURITY
latitude-dev/latitude-llm,TypeScript,mined,1796,secrets:S6698,PostgreSQL database passwords should not be disclosed,VULNERABILITY,BLOCKER,latitude-dev.latitude-llm:packages/core/drizzle.config.ts,Make sure this PostgreSQL database password gets changed and removed from the code.,cwe,SECURITY
block/goose,Rust,mined,10607,secrets:S6698,PostgreSQL database passwords should not be disclosed,VULNERABILITY,BLOCKER,block.goose:scripts/langfuse-docker-compose.yaml,Make sure this PostgreSQL database password gets changed and removed from the code.,cwe,SECURITY
remotion-dev/remotion,TypeScript,mined,21742,typescript:S2819,Origins should be verified during cross-origin communications,VULNERABILITY,CRITICAL,remotion-dev.remotion:packages/gif/src/worker/worker.ts,Verify the origin of the received message.,"cwe, html5, type-dependent",SECURITY
microsoft/semanticworkbench,Python,mined,175,python:S5659,JWT should be signed and verified,VULNERABILITY,CRITICAL,microsoft.semanticworkbench:workbench-service/semantic_workbench_service/middleware.py,Don't use a JWT token without verifying its signature.,"cwe, privacy",SECURITY
microsoft/semanticworkbench,Python,mined,175,python:S5659,JWT should be signed and verified,VULNERABILITY,CRITICAL,microsoft.semanticworkbench:workbench-service/semantic_workbench_service/middleware.py,Don't use a JWT token without verifying its signature.,"cwe, privacy",SECURITY
devflowinc/trieve,Rust,mined,2001,kubernetes:S6865,Service account permissions should be restricted,VULNERABILITY,MAJOR,devflowinc.trieve:charts/trieve/charts/keycloak/templates/keycloak-operator.yaml,"Bind this Service Account to RBAC or disable ""automountServiceAccountToken"".",,SECURITY
devflowinc/trieve,Rust,mined,2001,kubernetes:S6865,Service account permissions should be restricted,VULNERABILITY,MAJOR,devflowinc.trieve:charts/trieve/charts/keycloak/templates/keycloak-postgres.yaml,Bind this resource's automounted service account to RBAC or disable automounting.,,SECURITY
devflowinc/trieve,Rust,mined,2001,kubernetes:S6864,Memory limits should be enforced,VULNERABILITY,MAJOR,devflowinc.trieve:charts/trieve/charts/keycloak/templates/keycloak-postgres.yaml,Specify a memory limit for this container.,,SECURITY
devflowinc/trieve,Rust,mined,2001,kubernetes:S6870,Storage limits should be enforced,VULNERABILITY,MAJOR,devflowinc.trieve:charts/trieve/charts/keycloak/templates/keycloak-postgres.yaml,Specify a storage limit for this container.,,SECURITY
devflowinc/trieve,Rust,mined,2001,kubernetes:S6870,Storage limits should be enforced,VULNERABILITY,MAJOR,devflowinc.trieve:charts/trieve/charts/postgres/templates/postgres-operator.yaml,Specify a storage limit for this container.,,SECURITY
devflowinc/trieve,Rust,mined,2001,kubernetes:S6865,Service account permissions should be restricted,VULNERABILITY,MAJOR,devflowinc.trieve:charts/trieve/charts/postgres/templates/postgres-operator.yaml,"Bind this Service Account to RBAC or disable ""automountServiceAccountToken"".",,SECURITY
devflowinc/trieve,Rust,mined,2001,kubernetes:S6864,Memory limits should be enforced,VULNERABILITY,MAJOR,devflowinc.trieve:charts/trieve/templates/workers/bktree-worker-deployment.yaml,Specify a memory limit for this container.,,SECURITY
devflowinc/trieve,Rust,mined,2001,kubernetes:S6865,Service account permissions should be restricted,VULNERABILITY,MAJOR,devflowinc.trieve:charts/trieve/templates/workers/bktree-worker-deployment.yaml,Bind this resource's automounted service account to RBAC or disable automounting.,,SECURITY
devflowinc/trieve,Rust,mined,2001,kubernetes:S6864,Memory limits should be enforced,VULNERABILITY,MAJOR,devflowinc.trieve:charts/trieve/templates/workers/crawl-worker-deployment.yaml,Specify a memory limit for this container.,,SECURITY
devflowinc/trieve,Rust,mined,2001,kubernetes:S6865,Service account permissions should be restricted,VULNERABILITY,MAJOR,devflowinc.trieve:charts/trieve/templates/workers/crawl-worker-deployment.yaml,Bind this resource's automounted service account to RBAC or disable automounting.,,SECURITY
devflowinc/trieve,Rust,mined,2001,kubernetes:S6864,Memory limits should be enforced,VULNERABILITY,MAJOR,devflowinc.trieve:charts/trieve/templates/workers/csv-jsonl-worker.yaml,Specify a memory limit for this container.,,SECURITY
devflowinc/trieve,Rust,mined,2001,kubernetes:S6865,Service account permissions should be restricted,VULNERABILITY,MAJOR,devflowinc.trieve:charts/trieve/templates/workers/csv-jsonl-worker.yaml,Bind this resource's automounted service account to RBAC or disable automounting.,,SECURITY
devflowinc/trieve,Rust,mined,2001,kubernetes:S6865,Service account permissions should be restricted,VULNERABILITY,MAJOR,devflowinc.trieve:charts/trieve/templates/workers/etl-worker-deployment.yaml,Bind this resource's automounted service account to RBAC or disable automounting.,,SECURITY
devflowinc/trieve,Rust,mined,2001,kubernetes:S6864,Memory limits should be enforced,VULNERABILITY,MAJOR,devflowinc.trieve:charts/trieve/templates/workers/etl-worker-deployment.yaml,Specify a memory limit for this container.,,SECURITY
devflowinc/trieve,Rust,mined,2001,kubernetes:S6865,Service account permissions should be restricted,VULNERABILITY,MAJOR,devflowinc.trieve:charts/trieve/templates/workers/fileworker-deployment.yaml,Bind this resource's automounted service account to RBAC or disable automounting.,,SECURITY
devflowinc/trieve,Rust,mined,2001,kubernetes:S6864,Memory limits should be enforced,VULNERABILITY,MAJOR,devflowinc.trieve:charts/trieve/templates/workers/fileworker-deployment.yaml,Specify a memory limit for this container.,,SECURITY
devflowinc/trieve,Rust,mined,2001,kubernetes:S6865,Service account permissions should be restricted,VULNERABILITY,MAJOR,devflowinc.trieve:charts/trieve/templates/workers/groupworker-deployment.yaml,Bind this resource's automounted service account to RBAC or disable automounting.,,SECURITY
devflowinc/trieve,Rust,mined,2001,kubernetes:S6864,Memory limits should be enforced,VULNERABILITY,MAJOR,devflowinc.trieve:charts/trieve/templates/workers/groupworker-deployment.yaml,Specify a memory limit for this container.,,SECURITY
devflowinc/trieve,Rust,mined,2001,kubernetes:S6865,Service account permissions should be restricted,VULNERABILITY,MAJOR,devflowinc.trieve:charts/trieve/templates/workers/ingest-deployment.yaml,Bind this resource's automounted service account to RBAC or disable automounting.,,SECURITY
devflowinc/trieve,Rust,mined,2001,kubernetes:S6864,Memory limits should be enforced,VULNERABILITY,MAJOR,devflowinc.trieve:charts/trieve/templates/workers/ingest-deployment.yaml,Specify a memory limit for this container.,,SECURITY
devflowinc/trieve,Rust,mined,2001,kubernetes:S6865,Service account permissions should be restricted,VULNERABILITY,MAJOR,devflowinc.trieve:charts/trieve/templates/workers/openai-ingest.yaml,Bind this resource's automounted service account to RBAC or disable automounting.,,SECURITY
devflowinc/trieve,Rust,mined,2001,kubernetes:S6864,Memory limits should be enforced,VULNERABILITY,MAJOR,devflowinc.trieve:charts/trieve/templates/workers/openai-ingest.yaml,Specify a memory limit for this container.,,SECURITY
devflowinc/trieve,Rust,mined,2001,kubernetes:S6864,Memory limits should be enforced,VULNERABILITY,MAJOR,devflowinc.trieve:charts/trieve/templates/workers/pagefind-worker-deployment.yaml,Specify a memory limit for this container.,,SECURITY
devflowinc/trieve,Rust,mined,2001,kubernetes:S6865,Service account permissions should be restricted,VULNERABILITY,MAJOR,devflowinc.trieve:charts/trieve/templates/workers/pagefind-worker-deployment.yaml,Bind this resource's automounted service account to RBAC or disable automounting.,,SECURITY
devflowinc/trieve,Rust,mined,2001,kubernetes:S6865,Service account permissions should be restricted,VULNERABILITY,MAJOR,devflowinc.trieve:charts/trieve/templates/workers/update-worker-deployment.yaml,Bind this resource's automounted service account to RBAC or disable automounting.,,SECURITY
devflowinc/trieve,Rust,mined,2001,kubernetes:S6864,Memory limits should be enforced,VULNERABILITY,MAJOR,devflowinc.trieve:charts/trieve/templates/workers/update-worker-deployment.yaml,Specify a memory limit for this container.,,SECURITY
devflowinc/trieve,Rust,mined,2001,kubernetes:S6865,Service account permissions should be restricted,VULNERABILITY,MAJOR,devflowinc.trieve:charts/trieve/templates/workers/wordworker-deployment.yaml,Bind this resource's automounted service account to RBAC or disable automounting.,,SECURITY
devflowinc/trieve,Rust,mined,2001,kubernetes:S6864,Memory limits should be enforced,VULNERABILITY,MAJOR,devflowinc.trieve:charts/trieve/templates/workers/wordworker-deployment.yaml,Specify a memory limit for this container.,,SECURITY
devflowinc/trieve,Rust,mined,2001,kubernetes:S6864,Memory limits should be enforced,VULNERABILITY,MAJOR,devflowinc.trieve:charts/trieve/templates/deployments/embeddings-deployment.yaml,Specify a memory limit for this container.,,SECURITY
devflowinc/trieve,Rust,mined,2001,kubernetes:S6865,Service account permissions should be restricted,VULNERABILITY,MAJOR,devflowinc.trieve:charts/trieve/test-production/clickhouse/clickhouse-operator.yaml,"Bind this Service Account to RBAC or disable ""automountServiceAccountToken"".",,SECURITY
devflowinc/trieve,Rust,mined,2001,kubernetes:S6864,Memory limits should be enforced,VULNERABILITY,MAJOR,devflowinc.trieve:charts/trieve/test-production/clickhouse/clickhouse-operator.yaml,Specify a memory limit for this container.,,SECURITY
devflowinc/trieve,Rust,mined,2001,kubernetes:S6864,Memory limits should be enforced,VULNERABILITY,MAJOR,devflowinc.trieve:charts/trieve/test-production/clickhouse/clickhouse-operator.yaml,Specify a memory limit for this container.,,SECURITY
devflowinc/trieve,Rust,mined,2001,kubernetes:S6865,Service account permissions should be restricted,VULNERABILITY,MAJOR,devflowinc.trieve:charts/trieve/test-production/cloud-sql-proxy.yaml,"Bind this Service Account to RBAC or disable ""automountServiceAccountToken"".",,SECURITY
devflowinc/trieve,Rust,mined,2001,kubernetes:S6864,Memory limits should be enforced,VULNERABILITY,MAJOR,devflowinc.trieve:charts/trieve/test-production/cloud-sql-proxy.yaml,Specify a memory limit for this container.,,SECURITY
