mcp_servername,language,integration_type,star_count,violated_rule,violated_rule_name,issue_type,issue_severity,component,fix_guideline,issue_tags,quality_impact
devflowinc/trieve,Rust,mined,2001,kubernetes:S6870,Storage limits should be enforced,VULNERABILITY,MAJOR,devflowinc.trieve:charts/trieve/test-production/cnpg/operator.yaml,Specify a storage limit for this container.,,SECURITY
devflowinc/trieve,Rust,mined,2001,kubernetes:S6865,Service account permissions should be restricted,VULNERABILITY,MAJOR,devflowinc.trieve:charts/trieve/test-production/cnpg/operator.yaml,"Bind this Service Account to RBAC or disable ""automountServiceAccountToken"".",,SECURITY
devflowinc/trieve,Rust,mined,2001,kubernetes:S6865,Service account permissions should be restricted,VULNERABILITY,MAJOR,devflowinc.trieve:charts/trieve/test-production/keycloak/keycloak-operator.yaml,"Bind this Service Account to RBAC or disable ""automountServiceAccountToken"".",,SECURITY
devflowinc/trieve,Rust,mined,2001,kubernetes:S6865,Service account permissions should be restricted,VULNERABILITY,MAJOR,devflowinc.trieve:charts/trieve/test-production/keycloak/keycloak-postgres.yaml,Bind this resource's automounted service account to RBAC or disable automounting.,,SECURITY
devflowinc/trieve,Rust,mined,2001,kubernetes:S6864,Memory limits should be enforced,VULNERABILITY,MAJOR,devflowinc.trieve:charts/trieve/test-production/keycloak/keycloak-postgres.yaml,Specify a memory limit for this container.,,SECURITY
devflowinc/trieve,Rust,mined,2001,kubernetes:S6870,Storage limits should be enforced,VULNERABILITY,MAJOR,devflowinc.trieve:charts/trieve/test-production/keycloak/keycloak-postgres.yaml,Specify a storage limit for this container.,,SECURITY
devflowinc/trieve,Rust,mined,2001,kubernetes:S6865,Service account permissions should be restricted,VULNERABILITY,MAJOR,devflowinc.trieve:charts/trieve/test/clickhouse-operator.yaml,"Bind this Service Account to RBAC or disable ""automountServiceAccountToken"".",,SECURITY
devflowinc/trieve,Rust,mined,2001,kubernetes:S6864,Memory limits should be enforced,VULNERABILITY,MAJOR,devflowinc.trieve:charts/trieve/test/clickhouse-operator.yaml,Specify a memory limit for this container.,,SECURITY
devflowinc/trieve,Rust,mined,2001,kubernetes:S6864,Memory limits should be enforced,VULNERABILITY,MAJOR,devflowinc.trieve:charts/trieve/test/clickhouse-operator.yaml,Specify a memory limit for this container.,,SECURITY
devflowinc/trieve,Rust,mined,2001,kubernetes:S6865,Service account permissions should be restricted,VULNERABILITY,MAJOR,devflowinc.trieve:charts/trieve/test/keycloak-operator.yaml,"Bind this Service Account to RBAC or disable ""automountServiceAccountToken"".",,SECURITY
devflowinc/trieve,Rust,mined,2001,kubernetes:S6865,Service account permissions should be restricted,VULNERABILITY,MAJOR,devflowinc.trieve:charts/trieve/test/keycloak-postgres.yaml,Bind this resource's automounted service account to RBAC or disable automounting.,,SECURITY
devflowinc/trieve,Rust,mined,2001,kubernetes:S6870,Storage limits should be enforced,VULNERABILITY,MAJOR,devflowinc.trieve:charts/trieve/test/keycloak-postgres.yaml,Specify a storage limit for this container.,,SECURITY
devflowinc/trieve,Rust,mined,2001,kubernetes:S6864,Memory limits should be enforced,VULNERABILITY,MAJOR,devflowinc.trieve:charts/trieve/test/keycloak-postgres.yaml,Specify a memory limit for this container.,,SECURITY
devflowinc/trieve,Rust,mined,2001,kubernetes:S6865,Service account permissions should be restricted,VULNERABILITY,MAJOR,devflowinc.trieve:charts/trieve/test/postgres.yaml,Bind this resource's automounted service account to RBAC or disable automounting.,,SECURITY
devflowinc/trieve,Rust,mined,2001,kubernetes:S6864,Memory limits should be enforced,VULNERABILITY,MAJOR,devflowinc.trieve:charts/trieve/test/postgres.yaml,Specify a memory limit for this container.,,SECURITY
devflowinc/trieve,Rust,mined,2001,kubernetes:S6870,Storage limits should be enforced,VULNERABILITY,MAJOR,devflowinc.trieve:charts/trieve/test/postgres.yaml,Specify a storage limit for this container.,,SECURITY
devflowinc/trieve,Rust,mined,2001,kubernetes:S6865,Service account permissions should be restricted,VULNERABILITY,MAJOR,devflowinc.trieve:charts/trieve/test/redis.yaml,Bind this resource's automounted service account to RBAC or disable automounting.,,SECURITY
devflowinc/trieve,Rust,mined,2001,kubernetes:S6864,Memory limits should be enforced,VULNERABILITY,MAJOR,devflowinc.trieve:charts/trieve/test/redis.yaml,Specify a memory limit for this container.,,SECURITY
devflowinc/trieve,Rust,mined,2001,kubernetes:S6865,Service account permissions should be restricted,VULNERABILITY,MAJOR,devflowinc.trieve:pdf2md/k8s/api.yaml,Bind this resource's automounted service account to RBAC or disable automounting.,,SECURITY
devflowinc/trieve,Rust,mined,2001,kubernetes:S6864,Memory limits should be enforced,VULNERABILITY,MAJOR,devflowinc.trieve:pdf2md/k8s/api.yaml,Specify a memory limit for this container.,,SECURITY
devflowinc/trieve,Rust,mined,2001,kubernetes:S6865,Service account permissions should be restricted,VULNERABILITY,MAJOR,devflowinc.trieve:pdf2md/k8s/chunk-worker.yaml,Bind this resource's automounted service account to RBAC or disable automounting.,,SECURITY
devflowinc/trieve,Rust,mined,2001,kubernetes:S6864,Memory limits should be enforced,VULNERABILITY,MAJOR,devflowinc.trieve:pdf2md/k8s/chunk-worker.yaml,Specify a memory limit for this container.,,SECURITY
devflowinc/trieve,Rust,mined,2001,kubernetes:S6865,Service account permissions should be restricted,VULNERABILITY,MAJOR,devflowinc.trieve:pdf2md/k8s/supervisor-worker.yaml,Bind this resource's automounted service account to RBAC or disable automounting.,,SECURITY
devflowinc/trieve,Rust,mined,2001,kubernetes:S6864,Memory limits should be enforced,VULNERABILITY,MAJOR,devflowinc.trieve:pdf2md/k8s/supervisor-worker.yaml,Specify a memory limit for this container.,,SECURITY
devflowinc/trieve,Rust,mined,2001,kubernetes:S6867,Wildcards should not be used to define RBAC permissions,VULNERABILITY,MAJOR,devflowinc.trieve:glasskube/argocd/glasskube/glasskube.yaml,Replace this wildcard with a clear list of allowed resources.,,SECURITY
devflowinc/trieve,Rust,mined,2001,kubernetes:S6867,Wildcards should not be used to define RBAC permissions,VULNERABILITY,MAJOR,devflowinc.trieve:glasskube/argocd/glasskube/glasskube.yaml,Replace this wildcard with a clear list of allowed resources.,,SECURITY
devflowinc/trieve,Rust,mined,2001,kubernetes:S6867,Wildcards should not be used to define RBAC permissions,VULNERABILITY,MAJOR,devflowinc.trieve:glasskube/argocd/glasskube/glasskube.yaml,Replace this wildcard with a clear list of allowed resources.,,SECURITY
devflowinc/trieve,Rust,mined,2001,kubernetes:S6867,Wildcards should not be used to define RBAC permissions,VULNERABILITY,MAJOR,devflowinc.trieve:glasskube/argocd/glasskube/glasskube.yaml,Replace this wildcard with a clear list of allowed resources.,,SECURITY
devflowinc/trieve,Rust,mined,2001,kubernetes:S6867,Wildcards should not be used to define RBAC permissions,VULNERABILITY,MAJOR,devflowinc.trieve:glasskube/argocd/glasskube/glasskube.yaml,Replace this wildcard with a clear list of allowed resources.,,SECURITY
devflowinc/trieve,Rust,mined,2001,kubernetes:S6867,Wildcards should not be used to define RBAC permissions,VULNERABILITY,MAJOR,devflowinc.trieve:glasskube/argocd/glasskube/glasskube.yaml,Replace this wildcard with a clear list of allowed resources.,,SECURITY
devflowinc/trieve,Rust,mined,2001,kubernetes:S6867,Wildcards should not be used to define RBAC permissions,VULNERABILITY,MAJOR,devflowinc.trieve:glasskube/argocd/glasskube/glasskube.yaml,Replace this wildcard with a clear list of allowed resources.,,SECURITY
devflowinc/trieve,Rust,mined,2001,kubernetes:S6867,Wildcards should not be used to define RBAC permissions,VULNERABILITY,MAJOR,devflowinc.trieve:glasskube/argocd/glasskube/glasskube.yaml,Replace this wildcard with a clear list of allowed resources.,,SECURITY
devflowinc/trieve,Rust,mined,2001,kubernetes:S6867,Wildcards should not be used to define RBAC permissions,VULNERABILITY,MAJOR,devflowinc.trieve:glasskube/argocd/glasskube/glasskube.yaml,Replace this wildcard with a clear list of allowed resources.,,SECURITY
devflowinc/trieve,Rust,mined,2001,kubernetes:S6867,Wildcards should not be used to define RBAC permissions,VULNERABILITY,MAJOR,devflowinc.trieve:glasskube/argocd/glasskube/glasskube.yaml,Replace this wildcard with a clear list of allowed resources.,,SECURITY
devflowinc/trieve,Rust,mined,2001,kubernetes:S6867,Wildcards should not be used to define RBAC permissions,VULNERABILITY,MAJOR,devflowinc.trieve:glasskube/argocd/glasskube/glasskube.yaml,Replace this wildcard with a clear list of allowed resources.,,SECURITY
devflowinc/trieve,Rust,mined,2001,kubernetes:S6867,Wildcards should not be used to define RBAC permissions,VULNERABILITY,MAJOR,devflowinc.trieve:glasskube/argocd/glasskube/glasskube.yaml,Replace this wildcard with a clear list of allowed resources.,,SECURITY
devflowinc/trieve,Rust,mined,2001,kubernetes:S6870,Storage limits should be enforced,VULNERABILITY,MAJOR,devflowinc.trieve:glasskube/argocd/glasskube/glasskube.yaml,Specify a storage limit for this container.,,SECURITY
devflowinc/trieve,Rust,mined,2001,kubernetes:S6865,Service account permissions should be restricted,VULNERABILITY,MAJOR,devflowinc.trieve:glasskube/argocd/glasskube/glasskube.yaml,"Bind this Service Account to RBAC or disable ""automountServiceAccountToken"".",,SECURITY
devflowinc/trieve,Rust,mined,2001,kubernetes:S6870,Storage limits should be enforced,VULNERABILITY,MAJOR,devflowinc.trieve:glasskube/argocd/glasskube/glasskube.yaml,Specify a storage limit for this container.,,SECURITY
devflowinc/trieve,Rust,mined,2001,kubernetes:S6865,Service account permissions should be restricted,VULNERABILITY,MAJOR,devflowinc.trieve:glasskube/argocd/glasskube/glasskube.yaml,"Bind this Service Account to RBAC or disable ""automountServiceAccountToken"".",,SECURITY
devflowinc/trieve,Rust,mined,2001,kubernetes:S6865,Service account permissions should be restricted,VULNERABILITY,MAJOR,devflowinc.trieve:glasskube/trieve/embeddings/base/deployment.yaml,Bind this resource's automounted service account to RBAC or disable automounting.,,SECURITY
devflowinc/trieve,Rust,mined,2001,kubernetes:S6865,Service account permissions should be restricted,VULNERABILITY,MAJOR,devflowinc.trieve:glasskube/trieve/embeddings/bgem3/deployment-patch.yaml,Bind this resource's automounted service account to RBAC or disable automounting.,,SECURITY
devflowinc/trieve,Rust,mined,2001,kubernetes:S6864,Memory limits should be enforced,VULNERABILITY,MAJOR,devflowinc.trieve:glasskube/trieve/embeddings/bgem3/deployment-patch.yaml,Specify a memory limit for this container.,,SECURITY
devflowinc/trieve,Rust,mined,2001,kubernetes:S6865,Service account permissions should be restricted,VULNERABILITY,MAJOR,devflowinc.trieve:glasskube/trieve/embeddings/components/gpu/deployment-patch.yaml,Bind this resource's automounted service account to RBAC or disable automounting.,,SECURITY
devflowinc/trieve,Rust,mined,2001,kubernetes:S6864,Memory limits should be enforced,VULNERABILITY,MAJOR,devflowinc.trieve:glasskube/trieve/embeddings/components/gpu/deployment-patch.yaml,Specify a memory limit for this container.,,SECURITY
devflowinc/trieve,Rust,mined,2001,kubernetes:S6865,Service account permissions should be restricted,VULNERABILITY,MAJOR,devflowinc.trieve:glasskube/trieve/embeddings/jina/deployment-patch.yaml,Bind this resource's automounted service account to RBAC or disable automounting.,,SECURITY
devflowinc/trieve,Rust,mined,2001,kubernetes:S6865,Service account permissions should be restricted,VULNERABILITY,MAJOR,devflowinc.trieve:glasskube/trieve/embeddings/reranker/deployment-patch.yaml,Bind this resource's automounted service account to RBAC or disable automounting.,,SECURITY
devflowinc/trieve,Rust,mined,2001,kubernetes:S6865,Service account permissions should be restricted,VULNERABILITY,MAJOR,devflowinc.trieve:glasskube/trieve/embeddings/splade-doc/deployment-patch.yaml,Bind this resource's automounted service account to RBAC or disable automounting.,,SECURITY
devflowinc/trieve,Rust,mined,2001,kubernetes:S6865,Service account permissions should be restricted,VULNERABILITY,MAJOR,devflowinc.trieve:glasskube/trieve/embeddings/splade-query/deployment-patch.yaml,Bind this resource's automounted service account to RBAC or disable automounting.,,SECURITY
devflowinc/trieve,Rust,mined,2001,kubernetes:S6865,Service account permissions should be restricted,VULNERABILITY,MAJOR,devflowinc.trieve:glasskube/trieve/server/deployment.yaml,Bind this resource's automounted service account to RBAC or disable automounting.,,SECURITY
devflowinc/trieve,Rust,mined,2001,kubernetes:S6864,Memory limits should be enforced,VULNERABILITY,MAJOR,devflowinc.trieve:glasskube/trieve/server/deployment.yaml,Specify a memory limit for this container.,,SECURITY
devflowinc/trieve,Rust,mined,2001,kubernetes:S6865,Service account permissions should be restricted,VULNERABILITY,MAJOR,devflowinc.trieve:glasskube/trieve/ui/base/deployment.yaml,Bind this resource's automounted service account to RBAC or disable automounting.,,SECURITY
devflowinc/trieve,Rust,mined,2001,kubernetes:S6865,Service account permissions should be restricted,VULNERABILITY,MAJOR,devflowinc.trieve:glasskube/trieve/worker/base/deployment.yaml,Bind this resource's automounted service account to RBAC or disable automounting.,,SECURITY
devflowinc/trieve,Rust,mined,2001,kubernetes:S6865,Service account permissions should be restricted,VULNERABILITY,MAJOR,devflowinc.trieve:charts/trieve/templates/utils/syncqdrant-deployment.yaml,Bind this resource's automounted service account to RBAC or disable automounting.,,SECURITY
devflowinc/trieve,Rust,mined,2001,kubernetes:S6864,Memory limits should be enforced,VULNERABILITY,MAJOR,devflowinc.trieve:charts/trieve/templates/utils/syncqdrant-deployment.yaml,Specify a memory limit for this container.,,SECURITY
devflowinc/trieve,Rust,mined,2001,kubernetes:S6865,Service account permissions should be restricted,VULNERABILITY,MAJOR,devflowinc.trieve:charts/trieve/templates/workers/deleteworker-deployment.yaml,Bind this resource's automounted service account to RBAC or disable automounting.,,SECURITY
devflowinc/trieve,Rust,mined,2001,kubernetes:S6864,Memory limits should be enforced,VULNERABILITY,MAJOR,devflowinc.trieve:charts/trieve/templates/workers/deleteworker-deployment.yaml,Specify a memory limit for this container.,,SECURITY
devflowinc/trieve,Rust,mined,2001,kubernetes:S6865,Service account permissions should be restricted,VULNERABILITY,MAJOR,devflowinc.trieve:charts/trieve/templates/deployments/chat-deployment.yaml,Bind this resource's automounted service account to RBAC or disable automounting.,,SECURITY
devflowinc/trieve,Rust,mined,2001,kubernetes:S6864,Memory limits should be enforced,VULNERABILITY,MAJOR,devflowinc.trieve:charts/trieve/templates/deployments/chat-deployment.yaml,Specify a memory limit for this container.,,SECURITY
devflowinc/trieve,Rust,mined,2001,kubernetes:S6865,Service account permissions should be restricted,VULNERABILITY,MAJOR,devflowinc.trieve:charts/trieve/templates/deployments/dashboard-deployment.yaml,Bind this resource's automounted service account to RBAC or disable automounting.,,SECURITY
devflowinc/trieve,Rust,mined,2001,kubernetes:S6864,Memory limits should be enforced,VULNERABILITY,MAJOR,devflowinc.trieve:charts/trieve/templates/deployments/dashboard-deployment.yaml,Specify a memory limit for this container.,,SECURITY
devflowinc/trieve,Rust,mined,2001,kubernetes:S6865,Service account permissions should be restricted,VULNERABILITY,MAJOR,devflowinc.trieve:charts/trieve/templates/deployments/embeddings-deployment.yaml,Bind this resource's automounted service account to RBAC or disable automounting.,,SECURITY
devflowinc/trieve,Rust,mined,2001,kubernetes:S6865,Service account permissions should be restricted,VULNERABILITY,MAJOR,devflowinc.trieve:charts/trieve/templates/deployments/search-deployment.yaml,Bind this resource's automounted service account to RBAC or disable automounting.,,SECURITY
devflowinc/trieve,Rust,mined,2001,kubernetes:S6864,Memory limits should be enforced,VULNERABILITY,MAJOR,devflowinc.trieve:charts/trieve/templates/deployments/search-deployment.yaml,Specify a memory limit for this container.,,SECURITY
devflowinc/trieve,Rust,mined,2001,kubernetes:S6865,Service account permissions should be restricted,VULNERABILITY,MAJOR,devflowinc.trieve:charts/trieve/templates/deployments/server-deployment.yaml,Bind this resource's automounted service account to RBAC or disable automounting.,,SECURITY
devflowinc/trieve,Rust,mined,2001,kubernetes:S6864,Memory limits should be enforced,VULNERABILITY,MAJOR,devflowinc.trieve:charts/trieve/templates/deployments/server-deployment.yaml,Specify a memory limit for this container.,,SECURITY
danny-avila/LibreChat,TypeScript,mined,23441,kubernetes:S6865,Service account permissions should be restricted,VULNERABILITY,MAJOR,danny-avila.LibreChat:charts/librechat/templates/deployment.yaml,"Bind this Service Account to RBAC or disable ""automountServiceAccountToken"".",,MAINTAINABILITY
danny-avila/LibreChat,TypeScript,mined,23441,kubernetes:S6864,Memory limits should be enforced,VULNERABILITY,MAJOR,danny-avila.LibreChat:charts/librechat/templates/deployment.yaml,Specify a memory limit for this container.,,MAINTAINABILITY
fonoster/fonoster,TypeScript,mined,6542,secrets:S6706,Cryptographic private keys should not be disclosed,VULNERABILITY,BLOCKER,fonoster.fonoster:mods/identity/test/utils.ts,"Make sure this private key gets revoked, changed, and removed from the code.",cwe,SECURITY
moeru-ai/airi,TypeScript,mined,157,typescript:S2819,Origins should be verified during cross-origin communications,VULNERABILITY,CRITICAL,moeru-ai.airi:packages/provider-transformers/src/worker/index.ts,Verify the origin of the received message.,"cwe, html5, type-dependent",SECURITY
moeru-ai/airi,TypeScript,mined,157,typescript:S2819,Origins should be verified during cross-origin communications,VULNERABILITY,CRITICAL,moeru-ai.airi:packages/stage-ui/src/libs/workers/worker.ts,Verify the origin of the received message.,"cwe, html5, type-dependent",SECURITY
eclipse-theia/theia,TypeScript,mined,20496,typescript:S2819,Origins should be verified during cross-origin communications,VULNERABILITY,CRITICAL,eclipse-theia.theia:packages/plugin-ext/src/main/browser/notebooks/renderers/output-webview-internal.ts,Verify the origin of the received message.,"cwe, html5, type-dependent",SECURITY
eclipse-theia/theia,TypeScript,mined,20496,typescript:S2819,Origins should be verified during cross-origin communications,VULNERABILITY,CRITICAL,eclipse-theia.theia:packages/core/src/browser/window/default-secondary-window-service.ts,Verify the origin of the received message.,"cwe, html5, type-dependent",SECURITY
eclipse-theia/theia,TypeScript,mined,20496,typescript:S2819,Origins should be verified during cross-origin communications,VULNERABILITY,CRITICAL,eclipse-theia.theia:packages/core/src/browser/window/default-secondary-window-service.ts,Specify a target origin for this message.,"cwe, html5, type-dependent",SECURITY
eclipse-theia/theia,TypeScript,mined,20496,typescript:S2819,Origins should be verified during cross-origin communications,VULNERABILITY,CRITICAL,eclipse-theia.theia:packages/plugin-ext/src/main/browser/webview/webview.ts,Specify a target origin for this message.,"cwe, html5, type-dependent",SECURITY
eclipse-theia/theia,TypeScript,mined,20496,typescript:S2819,Origins should be verified during cross-origin communications,VULNERABILITY,CRITICAL,eclipse-theia.theia:packages/plugin-ext/src/main/browser/webview/webview.ts,Specify a target origin for this message.,"cwe, html5, type-dependent",SECURITY
codegen-sh/codegen,Python,mined,393,python:S6437,Credentials should not be hard-coded,VULNERABILITY,BLOCKER,codegen-sh.codegen:tests/integration/codegen/git/repo_operator/test_remote_repo_operator.py,"Revoke and change this password, as it is compromised.",cwe,SECURITY
codegen-sh/codegen,Python,mined,393,python:S6437,Credentials should not be hard-coded,VULNERABILITY,BLOCKER,codegen-sh.codegen:tests/integration/codegen/git/repo_operator/test_remote_repo_operator.py,"Revoke and change this password, as it is compromised.",cwe,SECURITY
codegen-sh/codegen,Python,mined,393,python:S6437,Credentials should not be hard-coded,VULNERABILITY,BLOCKER,codegen-sh.codegen:tests/integration/codegen/git/repo_operator/test_remote_repo_operator.py,"Revoke and change this password, as it is compromised.",cwe,SECURITY
Percolation-Labs/percolate,Python,mined,36,kubernetes:S6865,Service account permissions should be restricted,VULNERABILITY,MAJOR,Percolation-Labs.percolate:ops/k8s/manifest.yaml,Bind this resource's automounted service account to RBAC or disable automounting.,,SECURITY
Matmax-Worldwide/payloadcmsmcp,HTML,mined,15,secrets:S6698,PostgreSQL database passwords should not be disclosed,VULNERABILITY,BLOCKER,Matmax-Worldwide.payloadcmsmcp:lib/payload/scaffolder.ts,Make sure this PostgreSQL database password gets changed and removed from the code.,cwe,SECURITY
clerk/javascript,TypeScript,mined,1363,secrets:S6706,Cryptographic private keys should not be disclosed,VULNERABILITY,BLOCKER,clerk.javascript:integration/testUtils/handshake.ts,"Make sure this private key gets revoked, changed, and removed from the code.",cwe,SECURITY
clerk/javascript,TypeScript,mined,1363,secrets:S6706,Cryptographic private keys should not be disclosed,VULNERABILITY,BLOCKER,clerk.javascript:integration/testUtils/handshake.ts,"Make sure this private key gets revoked, changed, and removed from the code.",cwe,SECURITY
clerk/javascript,TypeScript,mined,1363,secrets:S6706,Cryptographic private keys should not be disclosed,VULNERABILITY,BLOCKER,clerk.javascript:packages/backend/src/fixtures/index.ts,"Make sure this private key gets revoked, changed, and removed from the code.",cwe,SECURITY
mantou132/gem,TypeScript,mined,19,typescript:S2819,Origins should be verified during cross-origin communications,VULNERABILITY,CRITICAL,mantou132.gem:packages/gem-examples/src/benchmark/worker.ts,Verify the origin of the received message.,"cwe, html5, type-dependent",SECURITY
aidrivencoder/Roo-Cline,TypeScript,mined,18,typescript:S2819,Origins should be verified during cross-origin communications,VULNERABILITY,CRITICAL,aidrivencoder.Roo-Cline:webview-ui/src/components/chat/__tests__/ChatView.auto-approve.test.tsx,Specify a target origin for this message.,"cwe, html5, type-dependent",SECURITY
aidrivencoder/Roo-Cline,TypeScript,mined,18,typescript:S2819,Origins should be verified during cross-origin communications,VULNERABILITY,CRITICAL,aidrivencoder.Roo-Cline:webview-ui/src/components/chat/__tests__/ChatView.test.tsx,Specify a target origin for this message.,"cwe, html5, type-dependent",SECURITY
aidrivencoder/Roo-Cline,TypeScript,mined,18,typescript:S2819,Origins should be verified during cross-origin communications,VULNERABILITY,CRITICAL,aidrivencoder.Roo-Cline:webview-ui/src/components/settings/__tests__/SettingsView.test.tsx,Specify a target origin for this message.,"cwe, html5, type-dependent",SECURITY
langwatch/langwatch,TypeScript,mined,1233,secrets:S6698,PostgreSQL database passwords should not be disclosed,VULNERABILITY,BLOCKER,langwatch.langwatch:compose.dev.yml,Make sure this PostgreSQL database password gets changed and removed from the code.,cwe,SECURITY
langwatch/langwatch,TypeScript,mined,1233,secrets:S6698,PostgreSQL database passwords should not be disclosed,VULNERABILITY,BLOCKER,langwatch.langwatch:compose.yml,Make sure this PostgreSQL database password gets changed and removed from the code.,cwe,SECURITY
trancethehuman/ai-workshop-code,Jupyter Notebook,mined,415,secrets:S6698,PostgreSQL database passwords should not be disclosed,VULNERABILITY,BLOCKER,trancethehuman.ai-workshop-code:notebooks/Hybrid_Search_Workshop.ipynb,Make sure this PostgreSQL database password gets changed and removed from the code.,cwe,SECURITY
authed-dev/authed,Python,mined,72,kubernetes:S6865,Service account permissions should be restricted,VULNERABILITY,MAJOR,authed-dev.authed:k8s/deployment.yaml,"Bind this Service Account to RBAC or disable ""automountServiceAccountToken"".",,SECURITY
authed-dev/authed,Python,mined,72,kubernetes:S6870,Storage limits should be enforced,VULNERABILITY,MAJOR,authed-dev.authed:k8s/deployment.yaml,Specify a storage limit for this container.,,SECURITY
authed-dev/authed,Python,mined,72,python:S5659,JWT should be signed and verified,VULNERABILITY,CRITICAL,authed-dev.authed:registry/core/security/dpop.py,Don't use a JWT token without verifying its signature.,"cwe, privacy",SECURITY
Just-Understanding-Data-Ltd/ai-coding-with-cursor,TypeScript,mined,29,secrets:S6698,PostgreSQL database passwords should not be disclosed,VULNERABILITY,BLOCKER,Just-Understanding-Data-Ltd.ai-coding-with-cursor:chat_bot_customer_support_project/apps/web/integration/setup.ts,Make sure this PostgreSQL database password gets changed and removed from the code.,cwe,SECURITY
Just-Understanding-Data-Ltd/ai-coding-with-cursor,TypeScript,mined,29,secrets:S6698,PostgreSQL database passwords should not be disclosed,VULNERABILITY,BLOCKER,Just-Understanding-Data-Ltd.ai-coding-with-cursor:chat_bot_customer_support_project/apps/web/integration/setup.ts,Make sure this PostgreSQL database password gets changed and removed from the code.,cwe,SECURITY
